,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,ISI,FWI,Classes,Region
0,1,6,2012,29,57,18,0.0,65.7,3.4,1.3,0.5,not fire   ,0
1,2,6,2012,29,61,13,1.3,64.4,4.1,1.0,0.4,not fire   ,0
2,3,6,2012,26,82,22,13.1,47.1,2.5,0.3,0.1,not fire   ,0
3,4,6,2012,25,89,13,2.5,28.6,1.3,0.0,0.0,not fire   ,0
4,5,6,2012,27,77,16,0.0,64.8,3.0,1.2,0.5,not fire   ,0
5,6,6,2012,31,67,14,0.0,82.6,5.8,3.1,2.5,fire   ,0
6,7,6,2012,33,54,13,0.0,88.2,9.9,6.4,7.2,fire   ,0
7,8,6,2012,30,73,15,0.0,86.6,12.1,5.6,7.1,fire   ,0
8,9,6,2012,25,88,13,0.2,52.9,7.9,0.4,0.3,not fire   ,0
9,10,6,2012,28,79,12,0.0,73.2,9.5,1.3,0.9,not fire   ,0
10,11,6,2012,31,65,14,0.0,84.5,12.5,4.0,5.6,fire   ,0
11,12,6,2012,26,81,19,0.0,84.0,13.8,4.8,7.1,fire   ,0
12,13,6,2012,27,84,21,1.2,50.0,6.7,0.5,0.2,not fire   ,0
13,14,6,2012,30,78,20,0.5,59.0,4.6,1.0,0.4,not fire   ,0
14,15,6,2012,28,80,17,3.1,49.4,3.0,0.4,0.1,not fire   ,0
15,16,6,2012,29,89,13,0.7,36.1,1.7,0.0,0.0,not fire   ,0
16,17,6,2012,30,89,16,0.6,37.3,1.1,0.0,0.0,not fire   ,0
17,18,6,2012,31,78,14,0.3,56.9,1.9,0.7,0.2,not fire   ,0
18,19,6,2012,31,55,16,0.1,79.9,4.5,2.5,1.4,not fire   ,0
19,20,6,2012,30,80,16,0.4,59.8,3.4,0.9,0.4,not fire   ,0
20,21,6,2012,30,78,14,0.0,81.0,6.3,2.6,2.2,fire   ,0
21,22,6,2012,31,67,17,0.1,79.1,7.0,2.4,2.3,not fire   ,0
22,23,6,2012,32,62,18,0.1,81.4,8.2,3.3,3.8,fire   ,0
23,24,6,2012,32,66,17,0.0,85.9,11.2,5.6,7.5,fire   ,0
24,25,6,2012,31,64,15,0.0,86.7,14.2,5.7,8.4,fire   ,0
25,26,6,2012,31,64,18,0.0,86.8,17.8,6.7,10.6,fire   ,0
26,27,6,2012,34,53,18,0.0,89.0,21.6,9.2,15.0,fire   ,0
27,28,6,2012,32,55,14,0.0,89.1,25.5,7.6,13.9,fire   ,0
28,29,6,2012,32,47,13,0.3,79.9,18.4,2.2,3.9,not fire   ,0
29,30,6,2012,33,50,14,0.0,88.7,22.9,7.2,12.9,fire   ,0
30,1,7,2012,29,68,19,1.0,59.9,2.5,1.1,0.4,not fire   ,0
31,2,7,2012,27,75,19,1.2,55.7,2.4,0.8,0.3,not fire   ,0
32,3,7,2012,32,76,20,0.7,63.1,2.6,1.3,0.5,not fire   ,0
33,4,7,2012,33,78,17,0.0,80.1,4.6,2.7,1.7,not fire   ,0
34,5,7,2012,33,66,14,0.0,85.9,7.6,4.8,4.9,fire   ,0
35,6,7,2012,32,63,14,0.0,87.0,10.9,5.6,6.8,fire   ,0
36,7,7,2012,35,64,18,0.2,80.0,9.7,2.8,3.2,not fire   ,0
37,8,7,2012,33,68,19,0.0,85.6,12.5,6.0,8.0,fire   ,0
38,9,7,2012,32,68,14,1.4,66.6,7.7,1.1,0.6,not fire   ,0
39,10,7,2012,33,69,13,0.7,66.6,6.0,1.1,0.5,not fire   ,0
40,11,7,2012,33,76,14,0.0,81.1,8.1,2.6,2.2,not fire   ,0
41,12,7,2012,31,75,13,0.1,75.1,7.9,1.5,0.9,not fire   ,0
42,13,7,2012,34,81,15,0.0,81.8,9.7,3.0,3.4,not fire   ,0
43,14,7,2012,34,61,13,0.6,73.9,7.8,1.4,0.8,not fire   ,0
44,15,7,2012,30,80,19,0.4,60.7,5.2,1.1,0.5,not fire   ,0
45,16,7,2012,28,76,21,0.0,72.6,7.0,0.7,0.4,not fire   ,0
46,17,7,2012,29,70,14,0.0,82.8,9.4,3.2,3.6,fire   ,0
47,18,7,2012,31,68,14,0.0,85.4,12.1,4.6,6.0,fire   ,0
48,19,7,2012,35,59,17,0.0,88.1,12.0,7.7,10.9,fire   ,0
49,20,7,2012,33,65,15,0.1,81.4,12.3,2.8,4.0,fire   ,0
50,21,7,2012,33,70,17,0.0,85.4,18.5,5.2,8.8,fire   ,0
51,22,7,2012,28,79,18,0.1,73.4,16.4,1.8,2.8,not fire   ,0
52,23,7,2012,27,66,22,0.4,68.2,10.5,1.8,2.1,not fire   ,0
53,24,7,2012,28,78,16,0.1,70.0,9.6,1.4,1.3,not fire   ,0
54,25,7,2012,31,65,18,0.0,84.3,12.5,4.8,7.3,fire   ,0
55,26,7,2012,36,53,19,0.0,89.2,17.1,10.0,15.3,fire   ,0
56,27,7,2012,36,48,13,0.0,90.3,22.2,8.7,15.3,fire   ,0
57,28,7,2012,33,76,15,0.0,86.5,24.4,5.6,11.3,fire   ,0
58,29,7,2012,32,73,15,0.0,86.6,26.7,5.6,11.9,fire   ,0
59,30,7,2012,31,79,15,0.0,85.4,28.5,4.7,10.7,fire   ,0
60,31,7,2012,35,64,17,0.0,87.2,31.9,6.8,15.7,fire   ,0
61,1,8,2012,36,45,14,0.0,78.8,4.8,2.0,0.9,not fire   ,0
62,2,8,2012,35,55,12,0.4,78.0,5.8,1.7,0.8,not fire   ,0
63,3,8,2012,35,63,14,0.3,76.6,5.7,1.7,0.8,not fire   ,0
64,4,8,2012,34,69,13,0.0,85.0,8.2,4.0,3.9,fire   ,0
65,5,8,2012,34,65,13,0.0,86.8,11.1,5.2,6.1,fire   ,0
66,6,8,2012,32,75,14,0.0,86.4,13.0,5.2,6.8,fire   ,0
67,7,8,2012,32,69,16,0.0,86.5,15.5,5.5,8.0,fire   ,0
68,8,8,2012,32,60,18,0.3,77.1,11.3,2.2,2.6,not fire   ,0
69,9,8,2012,35,59,17,0.0,87.4,14.8,6.9,9.9,fire   ,0
70,10,8,2012,35,55,14,0.0,88.9,18.6,7.4,11.6,fire   ,0
71,11,8,2012,35,63,13,0.0,88.9,21.7,7.1,12.1,fire   ,0
72,12,8,2012,35,51,13,0.3,81.3,15.6,2.5,4.2,not fire   ,0
73,13,8,2012,35,63,15,0.0,87.0,19.0,5.9,10.2,fire   ,0
74,14,8,2012,33,66,14,0.0,87.0,21.7,5.7,10.6,fire   ,0
75,15,8,2012,36,55,13,0.3,82.4,15.6,3.7,6.3,fire   ,0
76,16,8,2012,36,61,18,0.3,80.2,11.7,2.8,4.2,fire   ,0
77,17,8,2012,37,52,18,0.0,89.3,16.0,9.7,14.6,fire   ,0
78,18,8,2012,36,54,18,0.0,89.4,20.0,9.7,16.1,fire   ,0
79,19,8,2012,35,62,19,0.0,89.4,23.2,9.7,17.2,fire   ,0
80,20,8,2012,35,68,19,0.0,88.3,25.9,8.8,16.8,fire   ,0
81,21,8,2012,36,58,19,0.0,88.6,29.6,9.2,18.4,fire   ,0
82,22,8,2012,36,55,18,0.0,89.1,33.5,9.9,20.4,fire   ,0
83,23,8,2012,36,53,16,0.0,89.5,37.6,10.4,22.3,fire,0
84,24,8,2012,34,64,14,0.0,88.9,40.5,9.0,20.9,fire   ,0
85,25,8,2012,35,60,15,0.0,88.9,43.9,8.2,20.3,fire,0
86,26,8,2012,31,78,18,0.0,85.8,45.6,4.7,13.7,fire ,0
87,27,8,2012,33,82,21,0.0,84.9,47.0,4.4,13.2,fire,0
88,28,8,2012,34,64,16,0.0,89.4,50.2,7.3,19.9,fire ,0
89,29,8,2012,35,48,18,0.0,90.1,54.2,12.5,30.2,fire   ,0
90,30,8,2012,35,70,17,0.8,72.7,25.2,1.7,4.2,not fire   ,0
91,31,8,2012,28,80,21,16.8,52.5,8.7,0.6,0.3,not fire,0
92,1,9,2012,25,76,17,7.2,46.0,1.3,0.2,0.1,not fire ,0
93,2,9,2012,22,86,15,10.1,30.5,0.7,0.0,0.0,not fire,0
94,3,9,2012,25,78,15,3.8,42.6,1.2,0.1,0.0,not fire   ,0
95,4,9,2012,29,73,17,0.1,68.4,1.9,1.4,0.5,not fire   ,0
96,5,9,2012,29,75,16,0.0,80.8,3.4,2.8,1.7,fire   ,0
97,6,9,2012,29,74,19,0.1,75.8,3.6,2.1,0.9,not fire   ,0
98,7,9,2012,31,71,17,0.3,69.6,3.2,1.5,0.6,not fire   ,0
99,8,9,2012,30,73,17,0.9,62.0,2.6,1.1,0.4,not fire   ,0
100,9,9,2012,30,77,15,1.0,56.1,2.1,0.7,0.2,not fire   ,0
101,10,9,2012,33,73,12,1.8,59.9,2.2,0.7,0.3,not fire   ,0
102,11,9,2012,30,77,21,1.8,58.5,1.9,1.1,0.3,not fire   ,0
103,12,9,2012,29,88,13,0.0,71.0,2.6,1.2,0.5,not fire   ,0
104,13,9,2012,25,86,21,4.6,40.9,1.3,0.1,0.0,not fire   ,0
105,14,9,2012,22,76,26,8.3,47.4,1.1,0.4,0.1,not fire   ,0
106,15,9,2012,24,82,15,0.4,44.9,0.9,0.2,0.0,not fire   ,0
107,16,9,2012,30,65,14,0.0,78.1,3.2,1.9,0.8,not fire   ,0
108,17,9,2012,31,52,14,0.0,87.7,6.4,6.2,5.9,fire   ,0
109,18,9,2012,32,49,11,0.0,89.4,9.8,6.8,7.7,fire   ,0
110,19,9,2012,29,57,14,0.0,89.3,12.5,7.8,9.7,fire   ,0
111,20,9,2012,28,84,18,0.0,83.8,13.5,4.5,6.3,fire,0
112,21,9,2012,31,55,11,0.0,87.8,16.5,5.4,8.3,fire   ,0
113,22,9,2012,31,50,19,0.6,77.8,10.6,2.4,2.8,not fire   ,0
114,23,9,2012,32,54,11,0.5,73.7,7.9,1.2,0.7,not fire   ,0
115,24,9,2012,29,65,19,0.6,68.3,5.5,1.5,0.7,not fire   ,0
116,25,9,2012,26,81,21,5.8,48.6,3.0,0.4,0.1,not fire   ,0
117,26,9,2012,31,54,11,0.0,82.0,6.0,2.5,1.7,not fire   ,0
118,27,9,2012,31,66,11,0.0,85.7,8.3,4.0,4.1,fire   ,0
119,28,9,2012,32,47,14,0.7,77.5,7.1,1.8,0.9,not fire   ,0
120,29,9,2012,26,80,16,1.8,47.4,2.9,0.3,0.1,not fire   ,0
121,30,9,2012,25,78,14,1.4,45.0,1.9,0.2,0.1,not fire   ,0
122,1,6,2012,32,71,12,0.7,57.1,2.5,0.6,0.2,not fire   ,1
123,2,6,2012,30,73,13,4.0,55.7,2.7,0.6,0.2,not fire   ,1
124,3,6,2012,29,80,14,2.0,48.7,2.2,0.3,0.1,not fire   ,1
125,4,6,2012,30,64,14,0.0,79.4,5.2,2.2,1.0,not fire   ,1
126,5,6,2012,32,60,14,0.2,77.1,6.0,1.8,0.9,not fire   ,1
127,6,6,2012,35,54,11,0.1,83.7,8.4,3.1,3.1,fire   ,1
128,7,6,2012,35,44,17,0.2,85.6,9.9,5.4,6.0,fire   ,1
129,8,6,2012,28,51,17,1.3,71.4,7.7,1.5,0.8,not fire   ,1
130,9,6,2012,27,59,18,0.1,78.1,8.5,2.4,1.9,not fire   ,1
131,10,6,2012,30,41,15,0.0,89.4,13.3,8.4,10.0,fire   ,1
132,11,6,2012,31,42,21,0.0,90.6,18.2,13.4,16.7,fire   ,1
133,12,6,2012,27,58,17,0.0,88.9,21.3,8.7,12.9,fire   ,1
134,13,6,2012,30,52,15,2.0,72.3,11.4,1.4,0.9,not fire   ,1
135,14,6,2012,27,79,16,0.7,53.4,6.4,0.5,0.3,not fire   ,1
136,15,6,2012,28,90,15,0.0,66.8,7.2,1.2,0.6,not fire   ,1
137,16,6,2012,29,87,15,0.4,47.4,4.2,0.2,0.1,not fire   ,1
138,17,6,2012,31,69,17,4.7,62.2,3.9,1.1,0.4,not fire   ,1
139,18,6,2012,33,62,10,8.7,65.5,4.6,0.9,0.4,not fire   ,1
140,19,6,2012,32,67,14,4.5,64.6,4.4,1.0,0.4,not fire   ,1
141,20,6,2012,31,72,14,0.2,60.2,3.8,0.8,0.3,not fire   ,1
142,21,6,2012,32,55,14,0.0,86.2,8.3,5.0,4.9,fire   ,1
143,22,6,2012,33,46,14,1.1,78.3,8.1,1.9,1.2,not fire   ,1
144,23,6,2012,33,59,16,0.8,74.2,7.0,1.6,0.8,not fire   ,1
145,24,6,2012,35,68,16,0.0,85.3,10.0,4.9,5.3,fire   ,1
146,25,6,2012,34,70,16,0.0,86.0,12.8,5.4,6.7,fire   ,1
147,26,6,2012,36,62,16,0.0,87.8,16.5,7.0,9.5,fire   ,1
148,27,6,2012,36,55,15,0.0,89.1,20.9,8.0,12.0,fire   ,1
149,28,6,2012,37,37,13,0.0,92.5,27.2,11.7,18.4,fire   ,1
150,29,6,2012,37,36,13,0.6,86.2,17.9,4.8,7.2,fire   ,1
151,30,6,2012,34,42,15,1.7,79.7,12.0,2.2,2.2,not fire     ,1
152,1,7,2012,28,58,18,2.2,63.7,3.2,1.2,0.5,not fire   ,1
153,2,7,2012,33,48,16,0.0,87.6,7.9,6.8,6.4,fire   ,1
154,3,7,2012,34,56,17,0.1,84.7,9.7,4.7,5.2,fire   ,1
155,4,7,2012,34,58,18,0.0,88.0,13.6,8.0,9.9,fire   ,1
156,5,7,2012,34,45,18,0.0,90.5,18.7,11.3,15.0,fire   ,1
157,6,7,2012,35,42,15,0.3,84.7,15.5,4.3,6.3,fire   ,1
158,7,7,2012,38,43,13,0.5,85.0,13.0,4.1,5.2,fire   ,1
159,8,7,2012,35,47,18,6.0,80.8,9.8,3.1,3.0,fire   ,1
160,9,7,2012,36,43,15,1.9,82.3,9.4,3.2,3.1,fire   ,1
161,10,7,2012,34,51,16,3.8,77.5,8.0,2.0,1.3,not fire   ,1
162,11,7,2012,34,56,15,2.9,74.8,7.1,1.6,0.8,not fire   ,1
163,12,7,2012,36,44,13,0.0,90.1,12.6,8.3,9.6,fire   ,1
164,13,7,2012,39,45,13,0.6,85.2,11.3,4.2,4.7,fire   ,1
165,15,7,2012,34,45,17,0.0,90.5,18.0,10.9,14.1,fire   ,1
166,16,7,2012,31,83,17,0.0,84.5,19.4,4.7,7.3,fire   ,1
167,17,7,2012,32,81,17,0.0,84.6,21.1,4.7,7.7,fire   ,1
168,18,7,2012,33,68,15,0.0,86.1,23.9,5.2,9.1,fire   ,1
169,19,7,2012,34,58,16,0.0,88.1,27.8,7.3,13.0,fire   ,1
170,20,7,2012,36,50,16,0.0,89.9,32.7,9.5,17.3,fire   ,1
171,21,7,2012,36,29,18,0.0,93.9,39.6,18.5,30.0,fire   ,1
172,22,7,2012,32,48,18,0.0,91.5,44.2,13.2,25.4,fire   ,1
173,23,7,2012,31,71,17,0.0,87.3,46.6,6.9,16.3,fire   ,1
174,24,7,2012,33,63,17,1.1,72.8,20.9,1.6,2.5,not fire   ,1
175,25,7,2012,39,64,9,1.2,73.8,11.7,1.1,0.7,not fire   ,1
176,26,7,2012,35,58,10,0.2,78.3,10.8,1.6,1.0,not fire   ,1
177,27,7,2012,29,87,18,0.0,80.0,11.8,2.8,3.2,not fire   ,1
178,28,7,2012,33,57,16,0.0,87.5,15.7,6.7,9.0,fire   ,1
179,29,7,2012,34,59,16,0.0,88.1,19.5,7.4,10.9,fire   ,1
180,30,7,2012,36,56,16,0.0,88.9,23.8,8.2,13.2,fire   ,1
181,31,7,2012,37,55,15,0.0,89.3,28.3,8.3,14.5,fire   ,1
182,1,8,2012,38,52,14,0.0,78.3,4.4,2.0,0.8,not fire   ,1
183,2,8,2012,40,34,14,0.0,93.3,10.8,13.8,13.5,fire   ,1
184,3,8,2012,39,33,17,0.0,93.7,17.1,17.2,19.5,fire   ,1
185,4,8,2012,38,35,15,0.0,93.8,23.0,15.7,20.9,fire   ,1
186,5,8,2012,34,42,17,0.1,88.3,23.6,19.0,12.6,fire   ,1
187,6,8,2012,30,54,14,3.1,70.5,11.0,1.3,0.8,not fire   ,1
188,7,8,2012,34,63,13,2.9,69.7,7.2,1.2,0.6,not fire   ,1
189,8,8,2012,37,56,11,0.0,87.4,11.2,5.2,5.9,fire   ,1
190,9,8,2012,39,43,12,0.0,91.7,16.5,9.6,12.7,fire   ,1
191,10,8,2012,39,39,15,0.2,89.3,15.8,8.2,10.7,fire   ,1
192,11,8,2012,40,31,15,0.0,94.2,22.5,16.6,21.6,fire   ,1
193,12,8,2012,39,21,17,0.4,93.0,18.4,15.5,18.8,fire   ,1
194,13,8,2012,35,34,16,0.2,88.3,16.9,7.5,10.5,fire   ,1
195,14,8,2012,37,40,13,0.0,91.9,22.3,10.8,15.7,fire   ,1
196,15,8,2012,35,46,13,0.3,83.9,16.9,3.5,5.5,fire   ,1
197,16,8,2012,40,41,10,0.1,92.0,22.6,9.5,14.8,fire   ,1
198,17,8,2012,42,24,9,0.0,96.0,30.3,15.7,24.0,fire   ,1
199,18,8,2012,37,37,14,0.0,94.3,35.9,16.0,26.3,fire   ,1
200,19,8,2012,35,66,15,0.1,82.7,32.7,3.3,7.7,fire   ,1
201,20,8,2012,36,81,15,0.0,83.7,34.4,3.8,9.0,fire   ,1
202,21,8,2012,36,71,15,0.0,86.0,36.9,5.1,12.2,fire   ,1
203,22,8,2012,37,53,14,0.0,89.5,41.1,8.0,18.1,fire   ,1
204,23,8,2012,36,43,16,0.0,91.2,46.1,11.5,24.5,fire   ,1
205,24,8,2012,35,38,15,0.0,92.1,51.3,12.2,26.9,fire   ,1
206,25,8,2012,34,40,18,0.0,92.1,56.3,14.3,31.1,fire   ,1
207,26,8,2012,33,37,16,0.0,92.2,61.3,13.1,30.3,fire   ,1
208,27,8,2012,36,54,14,0.0,91.0,65.9,10.0,26.1,fire   ,1
209,28,8,2012,35,56,14,0.4,79.2,37.0,2.1,6.1,not fire   ,1
210,29,8,2012,35,53,17,0.5,80.2,20.7,2.7,5.9,fire   ,1
211,30,8,2012,34,49,15,0.0,89.2,24.8,8.1,16.0,fire   ,1
212,31,8,2012,30,59,19,0.0,89.1,27.8,9.8,19.4,fire   ,1
213,1,9,2012,29,86,16,0.0,37.9,0.9,0.1,0.0,not fire   ,1
214,2,9,2012,28,67,19,0.0,75.4,2.9,2.0,0.8,not fire   ,1
215,3,9,2012,28,75,16,0.0,82.2,4.4,3.3,2.5,fire   ,1
216,4,9,2012,30,66,15,0.2,73.5,4.1,1.5,0.7,not fire   ,1
217,5,9,2012,30,58,12,4.1,66.1,4.0,1.0,0.4,not fire   ,1
218,6,9,2012,34,71,14,6.5,64.5,3.3,1.0,0.4,not fire   ,1
219,7,9,2012,31,62,15,0.0,83.3,5.8,3.8,3.2,fire   ,1
220,8,9,2012,30,88,14,0.0,82.5,6.6,3.0,2.7,fire   ,1
221,9,9,2012,30,80,15,0.0,83.1,7.9,3.5,3.7,fire   ,1
222,10,9,2012,29,74,15,1.1,59.5,4.7,0.8,0.3,not fire   ,1
223,11,9,2012,30,73,14,0.0,79.2,6.5,2.1,1.2,not fire   ,1
224,12,9,2012,31,72,14,0.0,84.2,8.3,3.8,3.9,fire   ,1
225,13,9,2012,29,49,19,0.0,88.6,11.5,9.1,10.3,fire   ,1
226,14,9,2012,28,81,15,0.0,84.6,12.6,4.3,5.7,fire   ,1
227,15,9,2012,32,51,13,0.0,88.7,16.0,6.9,9.8,fire   ,1
228,16,9,2012,33,26,13,0.0,93.9,21.2,14.2,19.3,fire   ,1
229,17,9,2012,34,44,12,0.0,92.5,25.2,11.2,17.5,fire   ,1
230,18,9,2012,36,33,13,0.1,90.6,25.8,9.0,15.4,fire   ,1
231,19,9,2012,29,41,8,0.1,83.9,24.9,2.7,5.6,fire   ,1
232,20,9,2012,34,58,13,0.2,79.5,18.7,2.1,3.8,not fire   ,1
233,21,9,2012,35,34,17,0.0,92.2,23.6,13.8,21.6,fire   ,1
234,22,9,2012,33,64,13,0.0,88.9,26.1,7.1,13.7,fire   ,1
235,23,9,2012,35,56,14,0.0,89.0,29.4,7.5,15.2,fire   ,1
236,24,9,2012,26,49,6,2.0,61.3,11.9,0.6,0.4,not fire   ,1
237,25,9,2012,28,70,15,0.0,79.9,13.8,2.4,3.0,not fire   ,1
238,26,9,2012,30,65,14,0.0,85.4,16.0,4.5,6.5,fire   ,1
239,27,9,2012,28,87,15,4.4,41.1,6.5,0.1,0.0,not fire   ,1
240,28,9,2012,27,87,29,0.5,45.9,3.5,0.4,0.2,not fire   ,1
241,29,9,2012,24,54,18,0.1,79.7,4.3,1.7,0.7,not fire   ,1
242,30,9,2012,24,64,15,0.2,67.3,3.8,1.2,0.5,not fire    ,1
